Order_ID,Order_Date,Customer_Name,Category,Product,City,State,Quantity,Sales,Discount,Profit,Payment_Mode
ORD00001,23-05-2025,Rohit Jain,Electronics,Laptop,Chandigarh,Chandigarh,3,49947,0.02,6143.48,UPI
ORD00002,02-06-2026,Tanya Sharma,Grocery,Rice,Delhi,Delhi,1,975,0.02,90.67,Wallet
ORD00003,14-08-2025,Sneha Patel,Furniture,Filing Cabinet,Bengaluru,Karnataka,6,111936,0.08,17014.27,Cash
ORD00004,09-06-2025,Pooja Yadav,Electronics,Keyboard,Chandigarh,Chandigarh,4,91592,0.05,10304.1,UPI
ORD00005,28-09-2025,Amit Kaur,Electronics,Tablet,Noida,Uttar Pradesh,3,168423,0.05,18947.59,Wallet
ORD00006,06-01-2026,Shivam Verma,Electronics,Tablet,Noida,Uttar Pradesh,5,99065,0.15,7677.54,UPI
ORD00007,14-04-2025,Riya Gupta,Electronics,Mouse,Kolkata,West Bengal,3,17487,0.02,2150.9,Net Banking
ORD00008,01-10-2025,Priya Patel,Clothing,Jeans,Agra,Uttar Pradesh,3,6048,0.15,1013.04,Card
ORD00009,25-07-2026,Karan Yadav,Furniture,Table,Kota,Rajasthan,4,38580,0.15,4918.95,UPI
ORD00010,09-03-2025,Pooja Patel,Furniture,Office Chair,Kolkata,West Bengal,3,41835,0.05,6798.19,Cash
ORD00011,27-05-2025,Simran Singh,Furniture,Filing Cabinet,Kota,Rajasthan,4,87456,0.08,13293.31,Card
ORD00012,13-08-2025,Neha Jain,Clothing,Dress,Pune,Maharashtra,4,14284,0.05,2892.51,Net Banking
ORD00013,13-06-2025,Nikhil Patel,Electronics,Laptop,Ahmedabad,Gujarat,1,10616,0.15,822.74,UPI
ORD00014,21-07-2026,Rahul Kumar,Grocery,Spices,Pune,Maharashtra,4,8988,0.05,741.51,Wallet
ORD00015,22-03-2026,Arjun Kaur,Clothing,Hoodie,Bengaluru,Karnataka,3,3639,0.05,736.9,UPI
ORD00016,02-11-2025,Komal Patel,Clothing,Kurta,Kolkata,West Bengal,2,8916,0,1961.52,Card
ORD00017,01-01-2025,Tanya Yadav,Furniture,Bookshelf,Kolkata,West Bengal,2,36948,0.1,5357.46,Net Banking
ORD00018,04-09-2025,Shivam Kumar,Electronics,Monitor,Agra,Uttar Pradesh,3,48876,0,6353.88,UPI
ORD00019,02-05-2026,Varun Singh,Grocery,Cooking Oil,Kolkata,West Bengal,5,2975,0.02,276.68,Cash
ORD00020,16-11-2025,Riya Yadav,Grocery,Sugar,Mumbai,Maharashtra,6,5418,0.15,257.36,Net Banking
ORD00021,22-01-2025,Shivam Jain,Grocery,Cooking Oil,Ghaziabad,Uttar Pradesh,2,684,0.05,56.43,Card
ORD00022,23-08-2025,Priya Sharma,Furniture,Office Chair,Noida,Uttar Pradesh,6,128874,0,23197.32,Cash
ORD00023,07-07-2026,Neha Patel,Electronics,Mouse,Lucknow,Uttar Pradesh,6,194472,0.02,23920.06,Wallet
ORD00024,07-04-2025,Rohit Mehta,Grocery,Sugar,Kolkata,West Bengal,4,6988,0.02,649.88,Cash
ORD00025,11-04-2025,Amit Mehta,Grocery,Spices,Kota,Rajasthan,6,1806,0.15,85.79,Cash
ORD00026,24-05-2025,Nikhil Singh,Electronics,Mouse,Ghaziabad,Uttar Pradesh,2,71492,0.08,7292.18,Cash
ORD00027,11-04-2025,Amit Jain,Grocery,Sugar,Ahmedabad,Gujarat,1,1895,0.1,123.17,UPI
ORD00028,07-08-2025,Riya Sharma,Electronics,Mouse,Meerut,Uttar Pradesh,4,129704,0.08,13229.81,Card
ORD00029,10-03-2026,Varun Kaur,Grocery,Rice,Jaipur,Rajasthan,3,5829,0.05,480.89,Card
ORD00030,10-07-2026,Amit Yadav,Furniture,Bookshelf,Ghaziabad,Uttar Pradesh,1,19778,0.15,2521.7,UPI
ORD00031,05-06-2026,Priya Singh,Electronics,Printer,Mumbai,Maharashtra,5,54585,0,7096.05,UPI
ORD00032,10-09-2025,Shivam Patel,Electronics,Mouse,Jaipur,Rajasthan,1,58945,0.1,5599.77,UPI
ORD00033,20-11-2025,Simran Verma,Electronics,Tablet,Bengaluru,Karnataka,5,188210,0.1,17879.95,Cash
ORD00034,04-11-2025,Sneha Yadav,Furniture,Bookshelf,Jaipur,Rajasthan,2,45618,0.15,5816.3,UPI
ORD00035,05-07-2026,Pooja Jain,Electronics,Printer,Pune,Maharashtra,5,35760,0,4648.8,Cash
ORD00036,11-06-2025,Sneha Jain,Furniture,Bookshelf,Noida,Uttar Pradesh,2,25816,0.05,4195.1,Cash
ORD00037,28-09-2025,Rohit Kumar,Electronics,Headphones,Bengaluru,Karnataka,1,58148,0.02,7152.2,Wallet
ORD00038,18-12-2025,Pooja Gupta,Furniture,Bookshelf,Lucknow,Uttar Pradesh,5,38505,0.15,4909.39,Wallet
ORD00039,10-03-2026,Simran Sharma,Grocery,Tea,Ahmedabad,Gujarat,1,458,0.15,21.76,UPI
ORD00040,29-03-2026,Varun Mehta,Clothing,Hoodie,Meerut,Uttar Pradesh,6,14670,0.02,3124.71,Wallet
ORD00041,13-07-2026,Amit Yadav,Electronics,Monitor,Noida,Uttar Pradesh,6,359034,0.02,44161.18,Wallet
ORD00042,10-02-2025,Mohit Verma,Furniture,Sofa,Meerut,Uttar Pradesh,1,10901,0.05,1771.41,Card
ORD00043,08-06-2025,Karan Singh,Electronics,Smartphone,Kolkata,West Bengal,5,292710,0.08,29856.42,Card
